,name,COSMIC_ID,TCGA_label
1,AU565,910704,BRCA
2,BT-20,906801,BRCA
3,BT-474,946359,BRCA
4,BT-483,949093,BRCA
5,CAL-120,906826,BRCA
6,CAL-148,924106,BRCA
7,CAL-51,910927,BRCA
8,CAL-85-1,910852,BRCA
9,CAMA-1,946382,BRCA
10,COLO-824,906812,BRCA
11,DU-4475,906844,BRCA
12,EFM-19,906851,BRCA
13,EFM-192A,1290798,BRCA
14,EVSA-T,906862,BRCA
15,HCC1143,749710,BRCA
16,HCC1187,749711,BRCA
17,HCC1395,749712,BRCA
18,HCC1419,907045,BRCA
19,HCC1428,1290905,BRCA
20,HCC1500,1303900,BRCA
21,HCC1569,907046,BRCA
22,HCC1599,749713,BRCA
23,HCC1937,749714,BRCA
24,HCC1954,749709,BRCA
25,HCC202,1290906,BRCA
26,HCC2157,749715,BRCA
27,HCC2218,749716,BRCA
28,HCC38,749717,BRCA
29,HCC70,907048,BRCA
30,HDQ-P1,1290922,BRCA
31,Hs-578-T,905957,BRCA
32,MCF7,905946,BRCA
33,MDA-MB-157,925338,BRCA
34,MDA-MB-231,905960,BRCA
35,MDA-MB-330,1330941,BRCA
36,MDA-MB-361,908121,BRCA
37,MDA-MB-415,924240,BRCA
38,MDA-MB-436,1240172,BRCA
39,MDA-MB-453,908122,BRCA
40,MDA-MB-468,908123,BRCA
41,MFM-223,910948,BRCA
42,MRK-nu-1,908151,BRCA
43,OCUB-M,909256,BRCA
44,T47D,905945,BRCA
45,UACC-812,910910,BRCA
46,UACC-893,909778,BRCA
47,C2BBe1,910700,COAD/READ
48,CaR-1,924108,COAD/READ
49,CCK-81,1240123,COAD/READ
50,CL-11,1290769,COAD/READ
51,COLO-205,905961,COAD/READ
52,COLO-320-HSR,910569,COAD/READ
53,COLO-678,910689,COAD/READ
54,CW-2,910554,COAD/READ
55,GP5d,907291,COAD/READ
56,HCC2998,905971,COAD/READ
57,HCC-56,1290907,COAD/READ
58,HCT-116,905936,COAD/READ
59,HCT-15,905937,COAD/READ
60,HT-115,907289,COAD/READ
61,HT-29,905939,COAD/READ
62,HT55,907287,COAD/READ
63,KM12,905989,COAD/READ
64,LoVo,907790,COAD/READ
65,LS-1034,917486,COAD/READ
66,LS-123,907792,COAD/READ
67,LS-180,998189,COAD/READ
68,LS-411N,907794,COAD/READ
69,LS-513,907795,COAD/READ
70,NCI-H630,908482,COAD/READ
71,NCI-H716,908458,COAD/READ
72,NCI-H747,908457,COAD/READ
73,RCM-1,909263,COAD/READ
74,RKO,909698,COAD/READ
75,SK-CO-1,909718,COAD/READ
76,SNU-1040,1659823,COAD/READ
77,SNU-175,1659928,COAD/READ
78,SNU-407,1660034,COAD/READ
79,SNU-61,1660035,COAD/READ
80,SNU-81,1660036,COAD/READ
81,SNU-C1,910905,COAD/READ
82,SNU-C2B,909740,COAD/READ
83,SNU-C5,1674021,COAD/READ
84,SW1116,909746,COAD/READ
85,SW1417,909747,COAD/READ
86,SW1463,909748,COAD/READ
87,SW48,909751,COAD/READ
88,SW837,909755,COAD/READ
89,SW948,909757,COAD/READ
90,T84,909761,COAD/READ
91,769-P,910922,KIRC
92,786-0,905947,KIRC
93,A498,905948,KIRC
94,ACHN,905950,KIRC
95,BB65-RCC,753533,KIRC
96,BFTC-909,910698,KIRC
97,CAKI-1,905963,KIRC
98,CAL-54,910952,KIRC
99,HA7-RCC,753558,KIRC
100,KMRC-1,1298168,KIRC
101,KMRC-20,1298169,KIRC
102,LB1047-RCC,753577,KIRC
103,LB2241-RCC,753578,KIRC
104,LB996-RCC,753585,KIRC
105,NCC021,1509074,KIRC
106,OS-RC-2,909250,KIRC
107,RCC10RGB,909974,KIRC
108,RCC-AB,1524418,KIRC
109,RCC-ER,1524417,KIRC
110,RCC-FG2,1524414,KIRC
111,RCC-JW,1524416,KIRC
112,RCC-MF,1524419,KIRC
113,RXF393,905978,KIRC
114,SN12C,905979,KIRC
115,TK10,905980,KIRC
116,VMRC-RCZ,909781,KIRC
117,BE2-M17,753616,NB
118,CHP-126,910567,NB
119,CHP-134,910941,NB
120,CHP-212,906820,NB
121,GI-ME-N,906872,NB
122,GOTO,906875,NB
123,IMR-5,907170,NB
124,KELLY,753618,NB
125,KP-N-YN,907314,NB
126,LAN-6,949170,NB
127,MHH-NB-11,908135,NB
128,NB(TU)1-10,1240181,NB
129,NB1,949179,NB
130,NB10,949171,NB
131,NB12,949172,NB
132,NB13,949177,NB
133,NB17,949175,NB
134,NB5,949176,NB
135,NB6,949173,NB
136,NB69,908440,NB
137,NB7,949174,NB
138,NH-12,908447,NB
139,SIMA,753620,NB
140,SK-N-AS,724828,NB
141,SK-N-DZ,688086,NB
142,SK-N-FI,688087,NB
143,SK-N-SH,717431,NB
144,TGW,910780,NB
145,SW620,905962,COAD/READ
146,RCC-JF,1524415,KIRC
147,SW156,1240220,KIRC
148,JIMT-1,1298157,BRCA
